system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00050] PathFindOnPath found: C:\Windows\system32\d3d9.dll
bitmap   D             bitmap.c:864  _al_convert_to_memory_bitmap     [   7.94212] converting display bitmap 005B80D8 to memory bitmap
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   7.94234] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   7.94236] _al_d3d_sync_bitmap (video) ref count == 1
bitmap   D             bitmap.c:864  _al_convert_to_memory_bitmap     [   7.94244] converting display bitmap 005B7968 to memory bitmap
d3d      D          d3d_bmp.cpp:457  _al_d3d_sync_bitmap              [   7.94265] _al_d3d_sync_bitmap (system) ref count == 1
d3d      D          d3d_bmp.cpp:462  _al_d3d_sync_bitmap              [   7.94266] _al_d3d_sync_bitmap (video) ref count == 1
d3d      W         d3d_disp.cpp:798  d3d_destroy_device               [   7.94644] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1705 d3d_display_thread_proc          [   7.97261] d3d display thread exits
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.97280] removed dtor for object 010C99C0
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.97289] removed dtor for object 005B34C8
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.97693] removed dtor for object 005B9078
dtor     D               dtor.c:114  _al_run_destructors              [   7.97696] calling dtor for object 005B91F8, func 68562711
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.97698] removed dtor for object 005B91F8
dtor     D               dtor.c:114  _al_run_destructors              [   7.97700] calling dtor for object 005BA0A8, func 685627D4
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.97701] removed dtor for object 005BA0A8
dtor     D               dtor.c:114  _al_run_destructors              [   7.97703] calling dtor for object 005B8888, func 685627D4
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.97704] removed dtor for object 005B8888
dtor     D               dtor.c:114  _al_run_destructors              [   7.97706] calling dtor for object 005B80D8, func 685627D4
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.97707] removed dtor for object 005B80D8
dtor     D               dtor.c:114  _al_run_destructors              [   7.97709] calling dtor for object 005B7968, func 685627D4
dtor     D               dtor.c:214  _al_unregister_destructor        [   7.97710] removed dtor for object 005B7968
